"","Id","MSZoning","LotArea","Alley","LotShape","LandContour","Utilities","LotConfig","Neighborhood","Condition2","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","ExterQual","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","Heating","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","PavedDrive","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","SaleType","SaleCondition","SalePrice","Central"
"23",23,4,9742,3,4,4,"1",5,6,3,1,8,5,2002,2002,13,14,3,3,4,6,0,1777,1777,2,2,1795,0,1795,0,2,1,3,7,7,1,2,2,2,534,5,3,0,0,0,0,9,9,5,230000,2
"24",24,5,4224,3,4,4,"1",5,11,3,5,5,7,1976,1976,6,6,4,3,4,3,840,200,1040,2,2,1060,0,1060,1,1,1,4,6,7,1,2,3,2,572,5,3,0,0,0,0,6,9,5,129900,2
"25",25,4,8246,3,1,4,"1",5,19,3,1,5,8,1968,2001,10,11,4,4,3,5,188,204,1060,2,2,1060,0,1060,1,1,1,3,6,7,1,2,3,1,270,5,3,0,0,0,0,5,9,5,154000,2
"26",26,4,14230,3,4,4,"1",1,16,3,1,8,5,2007,2007,13,14,3,3,4,6,0,1566,1566,2,2,1600,0,1600,0,2,1,3,7,7,1,2,2,3,890,5,3,0,0,0,0,7,9,5,256300,2
"27",27,4,7200,3,4,4,"1",1,13,3,1,5,7,1951,2000,14,15,4,4,3,2,234,180,900,2,2,900,0,900,0,1,1,3,5,7,0,6,3,2,576,5,3,0,0,0,0,5,9,5,134800,2
"28",28,4,11478,3,4,4,"1",5,16,3,1,8,5,2007,2008,13,14,3,1,4,3,1218,486,1704,2,2,1704,0,1704,1,2,1,3,7,7,1,2,2,3,772,5,3,0,0,0,0,5,9,5,306000,2
"29",29,4,16321,3,1,4,"1",2,13,3,1,5,6,1957,1997,9,9,4,4,2,2,1277,207,1484,2,2,1600,0,1600,1,1,1,4,6,7,2,2,2,1,319,5,3,0,0,0,0,12,9,5,207500,2
"30",30,5,6324,3,1,4,"1",5,4,8,1,4,6,1927,1950,9,9,4,4,4,6,0,520,520,2,1,520,0,520,0,1,1,2,4,7,0,6,3,1,240,2,3,0,0,0,0,5,9,5,68500,1
"31",31,1,8500,2,4,4,"1",5,10,3,1,4,4,1920,1950,4,4,4,4,4,6,0,649,649,2,1,649,668,1317,0,1,1,4,6,7,0,6,3,1,250,5,1,0,0,0,0,7,9,5,40000,1
"32",32,4,8544,3,1,4,"1",2,19,3,1,5,6,1966,2006,7,7,4,4,4,6,0,1228,1228,2,2,1228,0,1228,0,1,1,3,6,7,0,2,3,1,271,5,3,0,0,0,0,6,9,5,149350,2
"33",33,4,11049,3,4,4,"1",1,6,3,1,8,5,2007,2007,13,14,3,1,1,6,0,1234,1234,2,2,1234,0,1234,0,2,1,3,7,7,0,2,2,2,484,5,3,0,0,0,0,1,9,5,179900,2
"34",34,4,10552,3,1,4,"1",5,13,3,1,5,5,1959,1959,4,4,4,4,4,5,1018,380,1398,2,2,1700,0,1700,0,1,1,3,6,7,1,2,2,2,447,5,3,0,0,0,0,4,9,5,165500,2
"35",35,4,7313,3,4,4,"1",5,16,3,5,9,5,2005,2005,9,9,1,1,4,3,1153,408,1561,2,2,1561,0,1561,1,2,1,1,6,7,1,2,1,2,556,5,3,0,0,0,0,8,9,5,277500,2
"36",36,4,13418,3,4,4,"1",5,16,3,1,8,5,2004,2005,13,14,3,1,1,6,0,1117,1117,2,2,1132,1320,2452,0,3,1,3,9,7,1,4,1,3,691,5,3,0,0,0,0,9,9,5,309000,2
"37",37,4,10859,3,4,4,"1",1,6,3,1,5,5,1994,1995,13,14,4,3,4,6,0,1097,1097,2,2,1097,0,1097,0,1,1,4,6,7,0,2,3,2,672,5,3,0,0,0,0,6,9,5,145000,2
"38",38,4,8532,3,4,4,"1",5,13,3,1,5,6,1954,1990,14,15,4,4,4,5,1213,84,1297,2,2,1297,0,1297,0,1,1,4,5,7,1,2,1,2,498,5,3,0,0,0,0,10,9,5,153000,2
"39",39,4,7922,3,4,4,"1",5,13,3,1,5,7,1953,2007,13,14,4,4,4,3,731,326,1057,2,2,1057,0,1057,1,1,1,3,5,7,0,6,3,1,246,5,3,0,0,0,0,1,9,1,109000,2
"40",40,4,6040,3,4,4,"1",5,8,3,3,4,5,1955,1955,1,11,4,5,5,7,0,0,0,2,1,1152,0,1152,0,2,2,2,6,7,0,7,4,0,0,6,1,0,0,0,0,6,9,2,82000,1
"41",41,4,8658,3,4,4,"1",5,13,3,1,6,5,1965,1965,14,15,4,4,4,5,643,445,1088,2,2,1324,0,1324,0,2,1,4,6,7,1,2,2,2,440,5,3,0,0,0,0,12,9,1,160000,2
"42",42,4,16905,3,4,4,"1",5,24,3,1,5,6,1959,1959,13,14,4,4,2,2,967,383,1350,2,2,1328,0,1328,0,1,1,4,5,7,2,2,2,1,308,5,2,0,0,0,0,7,9,5,170000,2
"43",43,4,9180,3,1,4,"1",2,20,3,1,5,7,1983,1983,7,7,4,3,1,1,747,0,840,2,2,884,0,884,1,1,1,3,5,7,0,2,2,2,504,5,3,0,0,0,0,12,9,5,144000,2
"44",44,4,9200,3,1,4,"1",2,6,3,1,5,6,1975,1980,13,14,4,3,1,4,280,167,938,2,2,938,0,938,1,1,1,4,5,7,0,6,3,1,308,5,3,0,0,0,0,7,9,5,130250,2
"45",45,4,7945,3,4,4,"1",5,13,3,1,5,6,1959,1959,4,15,4,4,4,1,179,465,1150,2,2,1150,0,1150,1,1,1,4,6,7,0,2,2,1,300,5,3,0,0,0,0,5,9,5,141000,2
"46",46,4,7658,3,4,4,"1",5,16,3,5,9,5,2005,2005,9,9,1,1,4,3,456,1296,1752,2,2,1752,0,1752,1,2,1,1,6,7,1,2,2,2,576,5,3,0,0,0,0,2,9,5,319900,2
"47",47,4,12822,3,1,4,"1",2,12,3,1,7,5,2003,2003,13,14,3,1,4,3,1351,83,1434,2,2,1518,631,2149,1,1,1,3,6,7,1,2,2,2,670,5,3,0,198,0,0,8,9,1,239686,2
"48",48,2,11096,3,4,4,"1",5,21,3,1,8,5,2006,2006,13,14,3,3,1,3,24,1632,1656,2,2,1656,0,1656,0,2,1,3,7,7,0,2,2,3,826,5,3,0,0,0,0,7,9,5,249700,2
"49",49,5,4456,3,4,4,"1",5,18,3,2,4,5,1920,2008,9,9,4,4,4,6,0,736,736,2,2,736,716,1452,0,2,3,4,8,7,0,7,4,0,0,6,1,0,0,0,0,6,7,6,113000,2
"50",50,4,7742,3,4,4,"1",5,19,3,1,5,7,1966,1966,7,7,4,4,4,2,763,192,955,2,2,955,0,955,1,1,1,4,6,7,0,2,3,1,386,5,3,0,0,0,0,1,9,5,127000,2
"51",51,4,13869,3,2,4,"1",1,9,3,1,6,6,1997,1997,13,14,4,3,1,3,182,612,794,2,2,794,676,1470,0,2,1,4,6,7,0,2,1,2,388,5,3,0,0,0,0,7,9,5,177000,2
"52",52,5,6240,3,4,4,"1",5,4,3,1,6,6,1934,1950,14,15,4,4,4,6,0,816,816,2,2,816,0,1176,0,1,1,4,6,7,1,6,3,2,528,5,3,0,0,0,400,9,9,5,114500,2
"53",53,5,8472,3,2,1,"1",1,10,3,3,5,5,1963,1963,14,15,2,3,2,4,104,0,816,2,1,816,0,816,1,1,1,4,5,7,0,5,3,2,516,5,3,0,0,0,0,5,9,5,110000,1
"54",54,4,50271,3,1,3,"1",5,25,3,1,9,5,1981,1987,15,16,3,1,2,3,1810,32,1842,2,2,1842,0,1842,2,0,1,3,5,7,1,2,1,3,894,5,3,0,0,0,0,11,9,5,385000,2
"55",55,4,7134,3,4,1,"1",5,13,3,1,5,5,1955,1955,9,9,4,4,4,1,384,0,384,2,2,1360,0,1360,0,1,1,4,6,3,1,6,3,2,572,5,3,0,0,0,0,2,9,5,130000,2
"56",56,4,10175,3,1,4,"1",5,13,3,1,6,5,1964,1964,7,11,4,4,4,2,490,935,1425,2,2,1425,0,1425,0,2,1,4,7,7,1,2,2,2,576,5,3,407,0,0,0,7,9,5,180500,2
"57",57,2,2645,2,4,4,"1",5,21,3,4,8,5,1999,2000,9,9,3,3,4,3,649,321,970,2,2,983,756,1739,1,2,1,3,7,7,0,2,1,2,480,5,3,0,0,0,0,8,9,1,172500,2
"58",58,4,11645,3,1,4,"1",1,6,3,1,7,5,2004,2004,13,14,3,3,4,6,0,860,860,2,2,860,860,1720,0,2,1,3,7,7,0,2,2,2,565,5,3,0,0,0,0,8,9,5,196500,2
"59",59,4,13682,3,2,2,"1",2,22,3,1,10,5,2006,2006,13,14,1,1,2,6,0,1410,1410,2,2,1426,1519,2945,0,3,1,3,10,7,1,4,1,3,641,5,3,0,0,0,0,10,7,6,438780,2
"60",60,4,7200,3,4,1,"1",5,6,3,1,5,7,1972,1972,7,7,4,4,1,1,632,148,780,2,2,780,0,780,0,1,1,4,4,7,0,6,3,1,352,5,3,0,0,0,0,1,9,5,124900,2
"61",61,4,13072,3,4,4,"1",5,20,3,1,6,5,2004,2004,13,14,4,3,4,1,941,217,1158,2,2,1158,0,1158,1,1,1,3,5,7,0,6,3,2,576,5,3,0,0,0,0,5,7,6,158000,2
"62",62,5,7200,3,4,4,"1",5,10,3,1,5,7,1920,1996,9,9,4,4,4,6,0,530,530,2,1,581,530,1111,0,1,1,2,6,7,0,6,3,1,288,5,1,0,0,0,0,3,9,5,101000,1
"63",63,4,6442,3,1,4,"1",5,16,3,5,8,5,2006,2006,13,14,3,3,3,3,24,1346,1370,2,2,1370,0,1370,0,2,1,3,6,7,1,2,2,2,484,5,3,0,0,0,0,10,9,5,202500,2
"64",64,5,10300,3,1,1,"1",5,18,2,1,7,6,1921,1950,12,13,4,4,4,6,0,576,576,2,2,902,808,1710,0,2,1,4,9,7,0,6,3,2,480,5,3,0,0,0,0,4,9,5,140000,2
"65",65,4,9375,3,4,4,"1",5,6,3,1,7,5,1997,1998,13,14,4,3,4,3,739,318,1057,2,2,1057,977,2034,1,2,1,3,8,7,0,2,2,2,645,5,3,0,0,0,0,2,9,5,219500,2
"66",66,4,9591,3,4,4,"1",5,16,3,1,8,5,2004,2005,13,14,3,1,1,6,0,1143,1143,2,2,1143,1330,2473,0,2,1,3,9,7,1,4,2,3,852,5,3,0,0,0,0,10,9,5,317000,2
"67",67,4,19900,3,4,4,"1",5,13,3,1,7,5,1970,1989,10,11,4,3,2,3,912,1035,1947,2,2,2207,0,2207,1,2,1,4,7,3,1,2,2,2,576,5,3,0,0,0,0,7,9,5,180000,2
"68",68,4,10665,3,1,4,"1",5,6,3,1,7,5,2003,2003,13,14,3,3,1,3,1013,440,1453,2,2,1479,0,1479,1,2,1,3,7,7,0,2,2,2,558,5,3,0,0,0,0,6,9,5,226000,2
"69",69,5,4608,3,4,4,"1",1,18,3,1,4,6,1945,1950,9,9,4,4,4,6,0,747,747,2,2,747,0,747,0,1,1,4,4,7,0,2,3,1,220,5,3,0,0,0,0,6,9,5,80000,2
"70",70,4,15593,3,4,4,"1",1,5,3,1,7,4,1953,1953,4,1,3,4,4,2,603,701,1304,3,2,1304,983,2287,0,2,1,4,7,7,1,2,1,2,667,5,3,0,0,0,0,7,9,5,225000,2
"71",71,4,13651,3,1,4,"1",5,13,3,1,7,6,1973,1973,10,11,4,3,2,1,1880,343,2223,2,2,2223,0,2223,1,2,1,4,8,7,2,2,1,2,516,5,3,0,0,0,0,2,9,5,244000,2
"72",72,4,7599,3,4,4,"1",1,12,3,1,4,6,1982,2006,7,11,4,4,4,1,565,280,845,2,2,845,0,845,1,1,1,4,4,7,0,6,3,2,360,5,3,0,0,0,0,6,9,5,129500,2
"73",73,4,10141,3,1,4,"1",1,9,3,1,7,5,1998,1998,13,14,4,3,4,6,0,832,832,2,2,885,833,1718,0,2,1,4,7,7,1,2,1,2,427,5,3,0,291,0,0,12,9,5,185000,2
"74",74,4,10200,3,4,4,"1",5,13,3,1,5,7,1954,2003,14,15,4,4,4,1,320,404,1086,2,2,1086,0,1086,1,1,1,4,6,7,0,2,3,2,490,5,3,0,0,0,0,5,9,5,144900,2
"75",75,5,5790,3,4,4,"1",1,18,3,1,3,6,1915,1950,13,14,3,2,4,6,0,840,840,2,1,840,765,1605,0,2,2,4,8,7,0,6,3,1,379,5,3,0,0,0,0,5,9,5,107400,1
"76",76,5,1596,3,4,4,"1",5,11,3,4,4,5,1973,1973,6,6,4,3,2,3,462,0,462,2,2,526,462,988,1,1,1,4,5,7,0,4,3,1,297,5,3,0,0,0,0,11,9,5,91000,2
"77",77,4,8475,3,1,4,"1",5,13,3,1,4,7,1956,1956,13,14,4,4,4,1,228,724,952,2,2,952,0,952,0,1,1,4,4,7,0,6,3,1,283,5,3,0,0,0,0,4,9,5,135750,2
"78",78,5,8635,3,4,4,"1",5,4,3,1,5,5,1948,2001,14,15,4,4,4,2,336,295,672,2,2,1072,213,1285,1,1,1,4,6,3,0,6,3,1,240,5,3,0,0,0,0,1,9,5,127000,2
"79",79,4,10778,3,4,4,"1",5,19,3,3,4,5,1968,1968,7,7,4,4,4,6,0,1768,1768,2,1,1768,0,1768,0,2,2,4,8,7,0,7,4,0,0,6,3,0,0,0,0,4,9,5,136500,1
"80",80,5,10440,1,4,4,"1",1,18,3,1,5,6,1910,1981,14,15,4,4,4,6,0,440,440,2,2,682,548,1230,0,1,1,4,5,7,0,6,3,2,440,5,3,0,0,0,0,5,9,5,110000,2
"81",81,4,13000,3,4,4,"1",1,13,3,1,6,6,1968,1968,13,14,4,3,4,5,448,448,896,2,2,1182,960,2142,0,2,1,3,8,7,1,2,1,1,509,5,3,0,252,0,0,6,9,5,193500,2
"82",82,5,4500,3,4,4,"1",3,12,3,5,6,5,1998,1998,13,14,4,1,4,3,1201,36,1237,2,2,1337,0,1337,1,2,1,4,5,7,0,2,1,2,405,5,3,0,0,0,0,3,9,5,153500,2
"83",83,4,10206,3,4,4,"1",5,21,3,1,8,5,2007,2007,13,14,4,3,4,3,33,1530,1563,2,2,1563,0,1563,0,2,1,3,6,7,1,2,2,3,758,5,3,0,0,0,0,10,9,5,245000,2
"84",84,4,8892,3,1,4,"1",5,13,3,1,5,5,1960,1960,9,9,4,4,4,6,0,1065,1065,2,2,1065,0,1065,0,1,1,4,6,7,0,6,3,2,461,5,3,0,0,0,0,7,1,5,126500,2
"85",85,4,8530,3,1,4,"1",5,9,3,1,7,5,1995,1996,7,7,4,3,4,6,0,384,384,2,2,804,670,1474,0,2,1,4,7,7,1,4,1,2,400,5,3,0,0,0,700,5,9,5,168500,2
"86",86,4,16059,3,4,4,"1",1,14,3,1,8,5,1991,1992,7,7,3,3,4,6,0,1288,1288,2,2,1301,1116,2417,0,2,1,3,9,7,1,2,3,2,462,5,3,0,0,0,0,4,9,5,260000,2
"87",87,4,11911,3,2,4,"1",5,9,3,1,6,5,2005,2005,13,14,3,3,1,6,0,684,684,2,2,684,876,1560,0,2,1,3,6,7,1,4,1,2,400,5,3,0,0,0,0,3,9,5,174000,2
"88",88,2,3951,2,4,4,"1",1,21,3,5,6,5,2009,2009,13,14,3,3,1,6,0,612,612,2,2,612,612,1224,0,2,1,3,4,7,0,6,2,2,528,5,3,0,0,0,0,6,7,6,164500,2
"89",89,1,8470,3,1,4,"1",1,10,2,1,3,2,1915,1982,10,11,2,4,4,6,0,1013,1013,2,1,1013,0,1526,0,1,1,2,6,7,0,7,4,0,0,6,1,0,0,0,0,10,3,1,85000,1
"90",90,4,8070,3,4,4,"1",5,6,3,1,4,5,1994,1995,13,14,4,3,4,3,588,402,990,2,2,990,0,990,1,1,1,4,5,7,0,7,4,0,0,6,3,0,0,0,0,8,9,5,123600,2
"91",91,4,7200,3,4,4,"1",5,13,3,1,4,5,1950,1950,4,15,4,5,5,7,0,0,0,2,2,1040,0,1040,0,1,1,4,4,7,0,6,3,2,420,5,3,0,0,0,0,7,9,5,109900,2
"92",92,4,8500,3,4,4,"1",5,13,3,1,5,3,1961,1961,7,7,4,4,4,5,600,635,1235,2,2,1235,0,1235,0,1,1,4,6,7,0,2,3,2,480,5,3,0,0,0,0,12,9,1,98600,2
"93",93,4,13360,1,1,2,"1",5,7,3,1,5,7,1921,2006,14,15,4,3,4,1,713,163,876,2,2,964,0,964,1,1,1,4,5,7,0,6,3,2,432,5,3,0,0,0,0,8,9,5,163500,2
"94",94,1,7200,3,4,4,"1",1,18,3,2,6,6,1910,1998,9,9,4,4,3,5,1046,168,1214,3,1,1260,1031,2291,0,2,2,4,9,7,1,6,3,2,506,5,3,0,99,0,0,11,9,5,133900,1
"95",95,4,9337,3,1,4,"1",5,6,3,1,6,5,1997,1997,13,14,4,3,4,3,648,176,824,2,2,905,881,1786,1,2,1,3,7,7,0,2,2,2,684,5,3,0,0,0,0,5,9,5,204750,2
"96",96,4,9765,3,2,4,"1",1,9,3,1,6,8,1993,1993,13,14,1,3,4,1,310,370,680,2,2,680,790,1470,0,2,1,4,6,7,1,4,1,2,420,5,3,0,0,0,480,4,9,5,185000,2
"97",97,4,10264,3,1,4,"1",5,6,3,1,7,5,1999,1999,13,14,3,3,1,1,1162,426,1588,2,2,1588,0,1588,0,2,1,3,6,7,0,2,2,2,472,5,3,0,0,0,0,8,9,5,214000,2
"98",98,4,10921,3,4,2,"1",5,8,3,1,4,5,1965,1965,7,7,4,4,4,5,520,440,960,2,2,960,0,960,1,1,1,4,6,7,0,2,1,1,432,5,2,0,0,0,0,5,9,5,94750,2
"99",99,4,10625,3,4,4,"1",1,8,3,1,5,5,1920,1950,14,15,4,4,4,1,108,350,458,2,1,835,0,835,0,1,1,4,5,7,0,3,3,1,366,2,3,0,0,0,400,5,1,1,83000,1
"100",100,4,9320,3,1,4,"1",5,13,3,1,4,5,1959,1959,10,11,4,4,4,1,569,381,950,2,2,1225,0,1225,1,1,1,4,6,7,0,7,4,0,0,6,3,0,0,0,400,1,9,5,128950,2
"101",101,4,10603,3,1,4,"1",5,17,3,1,6,7,1977,2001,10,11,4,4,3,1,1200,410,1610,2,2,1610,0,1610,1,2,1,3,6,7,2,2,2,2,480,5,3,0,0,0,0,2,9,5,205000,2
"102",102,4,9206,3,4,4,"1",5,20,3,1,6,5,1985,1985,7,7,3,3,4,6,0,741,741,2,2,977,755,1732,0,2,1,3,7,7,1,2,1,2,476,5,3,0,0,0,0,6,9,5,178000,2
"103",103,4,7018,3,4,1,"1",5,20,3,3,5,5,1979,1979,7,7,4,5,5,7,0,0,0,2,2,1535,0,1535,0,2,2,4,8,7,0,2,3,2,410,5,3,0,0,0,0,6,9,3,118964,2
"104",104,4,10402,3,1,4,"1",1,6,3,1,7,5,2009,2009,13,14,4,3,4,6,0,1226,1226,2,2,1226,0,1226,0,2,1,3,6,7,0,2,2,3,740,5,3,0,0,0,0,5,9,5,198900,2
"105",105,5,7758,3,4,4,"1",1,10,3,1,7,4,1931,1950,12,13,4,4,4,4,224,816,1040,2,2,1226,592,1818,0,1,1,4,7,7,2,6,3,1,240,5,3,0,184,0,0,6,9,5,169500,2
"106",106,2,9375,3,4,4,"1",5,21,3,1,8,5,2003,2004,13,14,3,1,4,6,0,1053,1053,2,2,1053,939,1992,0,2,1,3,9,7,1,2,2,2,648,5,3,0,0,0,0,8,9,5,250000,2
"107",107,5,10800,1,4,4,"1",5,18,3,1,4,7,1885,1995,13,14,4,2,4,6,0,641,641,2,2,1047,0,1047,0,1,1,4,6,7,0,6,3,1,273,2,1,0,0,0,450,8,9,5,100000,2
"108",108,5,6000,3,4,4,"1",5,18,3,1,5,5,1948,1950,13,14,4,4,4,1,104,516,789,2,2,789,0,789,0,1,1,4,5,7,0,6,3,1,250,5,3,0,0,0,0,4,9,6,115000,2
"109",109,5,8500,3,4,4,"1",1,10,3,1,5,7,1919,2005,6,6,4,4,4,6,0,793,793,3,1,997,520,1517,0,2,1,2,7,7,0,7,4,0,0,6,1,0,0,0,0,8,9,5,115000,1
"110",110,4,11751,3,1,4,"1",5,17,3,1,6,6,1977,1977,10,11,4,3,4,2,705,1139,1844,2,2,1844,0,1844,0,2,1,4,7,7,1,2,2,2,546,5,3,0,0,0,0,1,1,5,190000,2
"111",111,4,9525,3,4,4,"1",5,8,3,1,6,4,1954,1972,14,15,4,4,4,5,444,550,994,2,2,1216,639,1855,0,2,1,4,7,7,0,2,3,1,325,5,3,0,0,0,0,10,9,5,136900,2
"112",112,4,7750,3,1,4,"1",5,9,3,1,7,5,2000,2000,13,14,4,3,4,3,250,134,384,2,2,774,656,1430,0,2,1,4,7,7,1,4,1,2,400,5,3,0,0,0,0,4,9,5,180000,2
"113",113,4,9965,3,4,4,"1",5,6,3,1,7,5,2007,2007,13,14,3,1,1,3,984,280,1264,2,2,1282,1414,2696,1,2,1,1,10,7,1,4,1,3,792,5,3,0,168,0,0,10,7,6,383970,2
"114",114,4,21000,3,4,1,"1",1,7,3,1,6,5,1953,1953,14,15,4,3,3,1,35,905,1809,2,2,2259,0,2259,1,2,1,3,7,7,2,3,3,2,450,5,3,0,0,0,0,10,1,1,217000,2
"115",115,4,7259,3,1,4,"1",5,7,3,1,6,8,1945,2002,14,15,4,4,4,1,774,104,1028,2,2,1436,884,2320,1,2,1,3,9,7,1,6,3,1,180,5,3,0,0,0,0,7,9,5,259500,2
"116",116,2,3230,2,4,4,"1",1,21,3,5,6,5,1999,1999,9,9,4,3,4,3,419,310,729,2,2,729,729,1458,0,2,1,4,5,7,1,6,3,2,440,5,3,0,0,0,0,6,9,5,176000,2
"117",117,4,11616,3,4,4,"1",5,19,3,1,5,5,1962,1962,14,15,4,4,4,4,170,252,1092,2,2,1092,0,1092,0,1,1,4,6,7,1,2,3,1,288,5,3,0,0,0,0,9,9,5,139000,2
"118",118,4,8536,3,4,4,"1",1,8,3,1,5,5,2006,2007,13,14,4,3,4,6,0,1125,1125,2,2,1125,0,1125,0,1,1,4,5,7,0,2,3,2,430,5,3,0,0,0,0,4,7,6,155000,2
